,Date,Open,High,Low,Close,Adj Close,Volume
3377,2010-12-20,67979.0,68196.0,67264.0,67264.0,67264.0,2352800.0
159,1998-05-18,10906.0,10908.0,10010.0,10205.0,10205.0,0.0
3495,2011-06-13,62701.0,62968.0,62022.0,62023.0,62023.0,1397200.0
784,2000-10-09,15946.0,15975.0,15617.0,15855.0,15855.0,0.0
2178,2006-02-27,,,,,,
5223,2018-05-25,80123.0,80629.0,78622.0,78898.0,78898.0,4650100.0
1153,2002-03-08,13783.0,13962.0,13767.0,13962.0,13962.0,0.0
1660,2004-02-17,22195.0,22520.0,22017.0,22426.0,22426.0,0.0
6019,2021-08-16,121191.0,121191.0,118684.0,119180.0,119180.0,9741700.0
671,2000-05-03,15525.0,15525.0,14980.0,15109.0,15109.0,0.0
3587,2011-10-24,55259.0,57226.0,55259.0,56892.0,56892.0,2656000.0
724,2000-07-17,16890.0,17395.0,16890.0,17388.0,17388.0,0.0
2838,2008-10-15,41567.0,41567.0,35411.0,36833.0,36833.0,2147000.0
1692,2004-04-01,22142.0,22769.0,22142.0,22647.0,22647.0,0.0
6079,2021-11-11,105988.0,108669.0,105988.0,107725.0,107725.0,12661400.0
5740,2020-06-30,95728.0,96257.0,94806.0,95056.0,95056.0,10144500.0
5358,2018-12-11,85918.0,87520.0,85583.0,86420.0,86420.0,4390100.0
3826,2012-10-09,59319.0,59697.0,58616.0,58939.0,58939.0,3146400.0
6120,2022-01-12,103779.0,105869.0,103771.0,105686.0,105686.0,13026500.0
4685,2016-04-07,48099.0,48940.0,48099.0,48513.0,48513.0,3059900.0
4432,2015-03-26,51835.0,51835.0,50528.0,50580.0,50580.0,3638500.0
3010,2009-06-29,51488.0,52275.0,51488.0,52138.0,52138.0,1052800.0
4114,2013-12-10,51167.0,51334.0,50956.0,50993.0,50993.0,2128000.0
4778,2016-08-18,59324.0,59418.0,58829.0,59166.0,59166.0,3608700.0
6155,2022-03-04,115166.0,115166.0,113389.0,114474.0,114474.0,10715700.0
4076,2013-10-15,54176.0,55190.0,54053.0,54981.0,54981.0,8575300.0
5546,2019-09-16,103496.0,104005.0,102782.0,103680.0,103680.0,6038700.0
1641,2004-01-21,23680.0,23680.0,23213.0,23302.0,23302.0,0.0
5529,2019-08-22,101209.0,101469.0,100011.0,100011.0,100011.0,4495500.0
3517,2011-07-14,60673.0,60685.0,59452.0,59679.0,59679.0,2363400.0
1788,2004-08-13,21570.0,21706.0,21307.0,21401.0,21401.0,0.0
1716,2004-05-05,20013.0,20342.0,19835.0,20026.0,20026.0,0.0
4996,2017-07-05,63215.0,63485.0,62708.0,63154.0,63154.0,3169900.0
1328,2002-11-08,9859.0,10030.0,9857.0,9860.0,9860.0,0.0
1234,2002-07-01,11138.0,11173.0,10853.0,10892.0,10892.0,0.0
4417,2015-03-05,50472.0,50734.0,50114.0,50365.0,50365.0,2732500.0
42,1997-12-04,10212.0,10212.0,10043.0,10046.0,10046.0,0.0
4479,2015-06-05,53518.0,53518.0,52808.0,52973.0,52973.0,2729100.0
6045,2021-09-22,110252.0,113321.0,110251.0,112282.0,112282.0,12158600.0
3848,2012-11-12,57358.0,57712.0,56988.0,57064.0,57064.0,2071200.0
2653,2008-01-18,57039.0,58291.0,56241.0,57506.0,57506.0,5810600.0
3988,2013-06-12,49777.0,50380.0,48746.0,49181.0,49181.0,7780000.0
4907,2017-02-23,68590.0,69488.0,67279.0,67461.0,67461.0,3977800.0
4629,2016-01-14,38944.0,39502.0,38459.0,39500.0,39500.0,3868600.0
3860,2012-11-30,57845.0,58031.0,56704.0,57475.0,57475.0,5047000.0
5832,2020-11-10,103516.0,105758.0,103453.0,105351.0,105351.0,16665200.0
1388,2003-01-31,10761.0,11004.0,10741.0,10941.0,10941.0,0.0
3092,2009-10-23,66144.0,66982.0,64988.0,65059.0,65059.0,1393800.0
2512,2007-06-21,54030.0,54844.0,53911.0,54657.0,54657.0,103576000.0
1309,2002-10-14,8853.0,8853.0,8430.0,8451.0,8451.0,0.0
5012,2017-07-27,65013.0,65678.0,65013.0,65277.0,65277.0,2483900.0
411,1999-05-05,11267.0,11588.0,11222.0,11578.0,11578.0,0.0
3868,2012-12-12,59626.0,59859.0,59291.0,59474.0,59474.0,4749600.0
2395,2006-12-28,44526.0,44675.0,44373.0,44474.0,44474.0,113108900.0
5009,2017-07-24,64695.0,65104.0,64678.0,65100.0,65100.0,1908900.0
2240,2006-05-24,36104.0,36341.0,34911.0,35792.0,35792.0,0.0
497,1999-09-02,10845.0,11033.0,10754.0,10998.0,10998.0,0.0
147,1998-04-30,11532.0,11784.0,11532.0,11677.0,11677.0,0.0
4795,2016-09-13,58580.0,58580.0,56459.0,56821.0,56821.0,4377800.0
4993,2017-06-30,62238.0,63038.0,62238.0,62900.0,62900.0,2688200.0
3028,2009-07-23,53074.0,54629.0,53065.0,54249.0,54249.0,2061200.0
